date,distance_km,pace_min_per_km,elevation_gain_m,avg_hr,max_hr,trimp,CTL,ATL
2020-04-04 00:54:11,9.6591,4.498348707436511,90.6,152.0,172.0,78.03186660292236,,
2020-04-04 01:48:17,0.2005,2.8262676641729008,,138.0,153.0,0.739406870020797,,
2020-04-04 01:50:13,0.1965,2.7141645462256148,,133.0,150.0,0.6176741402908041,,
2020-04-04 17:49:15,6.4288,4.744275759084122,52.7,146.0,173.0,47.881289092516774,,
2020-04-05 21:17:29,16.0991,4.506463094210235,137.4,159.0,174.0,151.82856629216116,2.9944540090560743,16.942481209561066
2020-04-06 23:02:16,8.0496,4.6275591333730866,23.1,139.0,163.0,49.760641009461786,6.49626963968818,34.89880015023249
2020-04-07 00:05:53,0.2109,2.370791844476055,,101.0,130.0,0.24465214673917,7.514207326069928,36.87723961899166
2020-04-07 00:11:56,0.2014,2.399867593512082,,99.0,122.0,0.22228674589456546,7.514207326069928,36.87723961899166
2020-04-07 17:54:12,1.605,5.316718587746625,4.6,133.0,143.0,9.882786244652866,7.514207326069928,36.87723961899166
2020-04-07 18:30:43,3.2404,3.821544665267662,6.8,141.0,156.0,17.33239471239001,7.514207326069928,36.87723961899166
2020-04-07 19:00:21,0.4243,2.553224919475214,,141.0,160.0,1.5162929425374838,7.514207326069928,36.87723961899166
2020-04-07 19:06:40,0.4269,2.537674709143437,,126.0,144.0,1.0558746394776417,7.514207326069928,36.87723961899166
2020-04-07 19:13:14,0.3157,2.4812585788195545,,133.0,154.0,0.9072088935521185,7.514207326069928,36.87723961899166
2020-04-07 19:33:05,1.6113,5.368336126109353,3.6,144.0,153.0,12.974122209983857,7.514207326069928,36.87723961899166
2020-04-07 23:33:39,4.8351999999999995,4.836063313478933,25.6,148.0,170.0,38.40663032434455,7.514207326069928,36.87723961899166
2020-04-09 21:41:05,3.2275,5.246578879421637,35.1,136.0,152.0,21.07360217997671,9.061159834661636,37.237833799673396
2020-04-09 22:37:32,0.32839999999999997,2.1822980105562326,,134.0,165.0,0.8502452229465082,9.061159834661636,37.237833799673396
2020-04-09 22:46:31,6.5876,5.472402695974254,92.0,145.0,166.0,55.32111449888963,9.061159834661636,37.237833799673396
2020-04-10 19:01:08,4.8312,5.198846387370978,29.1,137.0,167.0,32.00838234340738,10.665409694938992,42.56366671759373
2020-04-10 19:39:26,0.1365,2.686202686202686,,106.0,133.0,0.2083469330477611,10.665409694938992,42.56366671759373
2020-04-10 19:41:07,0.1368,2.6803118908382064,,110.0,126.0,0.23367191135582688,10.665409694938992,42.56366671759373
2020-04-11 16:48:02,1.6018,5.452199608773463,3.0,132.0,145.0,9.872299884974112,11.1779738010615,41.21736756988496
2020-04-11 17:58:01,6.4365,5.6733732100779415,12.7,145.0,159.0,56.03724543091408,11.1779738010615,41.21736756988496
2020-04-13 23:29:32,9.8872,4.485597540254066,63.3,157.0,181.0,88.88018113714759,12.172418108449893,38.57991732422626
2020-04-14 20:34:38,3.2971,5.065057171453701,35.0,137.0,157.0,21.28228208898089,13.977222393194562,45.27599408612228
2020-04-14 21:07:37,0.8825,3.002832861189802,,140.0,149.0,3.623767153497046,13.977222393194562,45.27599408612228
2020-04-14 21:13:14,0.8663,3.078225403055139,,151.0,170.0,4.683969575943331,13.977222393194562,45.27599408612228
2020-04-14 21:19:31,0.8627999999999999,3.0713954566527586,,160.0,181.0,5.666487128252969,13.977222393194562,45.27599408612228
2020-04-14 21:27:57,0.8917,2.9718515195693618,,158.0,167.0,5.427209306627002,13.977222393194562,45.27599408612228
2020-04-14 21:35:12,0.8723,3.018839084412855,,160.0,170.0,5.630848844427479,13.977222393194562,45.27599408612228
2020-04-14 21:43:05,0.8847,2.9200105497155344,,162.0,173.0,5.765731850067858,13.977222393194562,45.27599408612228
2020-04-14 21:52:47,0.2025,2.4691358024691357,,131.0,157.0,0.5516054344075536,13.977222393194562,45.27599408612228
2020-04-14 22:04:50,3.2184,5.380520341370453,13.7,147.0,162.0,27.80789144761671,13.977222393194562,45.27599408612228
2020-04-16 18:39:04,9.7002,4.549734369738081,65.7,153.0,174.0,81.03038317246721,15.175321656763566,43.30668237049608
2020-04-17 01:42:20,1.6079,5.638824968385264,2.6,117.0,134.0,7.000267810212252,16.724780179640838,48.328540650450236
2020-04-17 02:11:16,0.21580000000000002,2.1624961383997525,,101.0,112.0,0.2283420036232253,16.724780179640838,48.328540650450236
2020-04-17 02:16:54,0.42610000000000003,2.385981381522334,,102.0,125.0,0.5128654099840881,16.724780179640838,48.328540650450236
2020-04-17 02:21:14,0.2097,2.304879987283421,,100.0,137.0,0.22931975398887486,16.724780179640838,48.328540650450236
2020-04-17 02:33:58,0.8756,4.948987361047662,,128.0,142.0,4.440004011192013,16.724780179640838,48.328540650450236
2020-04-17 20:15:44,16.0955,4.351112629824071,31.3,158.0,173.0,143.42851261916144,16.724780179640838,48.328540650450236
2020-04-17 21:38:53,1.6264,5.113543203803902,,144.0,155.0,12.474156036188717,16.724780179640838,48.328540650450236
2020-04-19 00:28:50,3.2196,5.140390110572742,11.0,127.0,142.0,16.540020886181093,19.813983752162418,55.74127718399275
2020-04-19 01:34:35,1.6122,5.1172311127651655,2.0,131.0,148.0,9.101489667724636,19.813983752162418,55.74127718399275
2020-04-21 00:38:37,10.661100000000001,4.73059377862822,107.0,149.0,175.0,84.71738500927688,19.481679999210908,44.84734996476753
2020-04-21 22:40:57,2.0416,5.355276907001046,3.6,131.0,145.0,12.061772165711838,19.481679999210908,44.84734996476753
